iter	Passed	Remaining
246	105176	320639
247	105562	320092
248	105947	319543
249	106340	319021
250	106727	318481
251	107111	317933
252	107502	317408
253	107885	316859
254	108278	316341
255	108674	315834
256	109060	315299
257	109448	314770
258	109832	314230
259	110214	313687
260	110601	313158
261	110986	312626
262	111378	312114
263	111771	311606
264	112162	311091
265	112567	310618
266	112975	310153
267	113356	309615
268	113743	309095
269	114159	308652
270	114549	308142
271	114940	307635
272	115330	307125
273	115722	306623
274	116114	306120
275	116506	305618
276	116894	305108
277	117286	304607
278	117676	304102
279	118059	303580
280	118447	303074
281	118836	302569
282	119223	302060
283	119613	301560
284	120008	301072
285	120403	300586
286	120788	300076
287	121175	299573
288	121565	299075
289	121954	298578
290	122338	298068
291	122729	297575
292	123125	297096
293	123512	296598
294	123992	296320
295	124386	295837
296	124784	295364
297	125181	294889
298	125571	294400
299	125961	293911
300	126361	293443
301	126756	292967
302	127156	292500
303	127549	292020
304	127945	291548
305	128337	291065
306	128724	290574
307	129123	290108
308	129527	289655
309	129921	289180
310	130313	288701
311	130708	288229
312	131104	287759
313	131499	287288
314	131885	286799
315	132293	286357
316	132684	285878
317	133069	285388
318	133455	284899
319	133843	284416
320	134230	283933
321	134629	283474
322	135019	282998
323	135416	282535
324	135801	282049
325	136190	281571
326	136589	281115
327	136976	280635
328	137365	280159
329	137759	279694
330	138152	279226
331	138551	278771
332	138938	278294
333	139332	277830
334	139731	277376
335	140116	276897
336	140506	276426
337	140892	275949
338	141283	275482
339	141677	275020
340	142069	274556
341	142462	274093
342	142852	273626
343	143241	273158
344	143627	272684
345	144013	272210
346	144400	271740
347	144794	271282
348	145177	270804
349	145566	270336
350	145951	269865
351	146340	269400
352	146731	268938
353	147119	268472
354	147505	268002
355	147897	267544
356	148284	267078
357	148676	266620
358	149142	266296
359	149535	265841
360	149924	265379
361	150310	264912
362	150694	264442
363	151080	263976
364	151467	263512
365	151856	263051
366	152250	262600
367	152640	262142
368	153034	261693
369	153423	261235
370	153812	260776
371	154199	260315
372	154590	259861
373	154988	259419
374	155373	258955
375	155754	258486
376	156141	258026
377	156526	257565
378	156919	257115
379	157316	256674
380	157699	256209
381	158083	255747
382	158471	255291
383	158851	254823
384	159237	254366
385	159642	253938
386	160043	253505
387	160436	253060
388	160823	252605
389	161217	252160
390	161607	251711
391	162002	251269
392	162395	250824
393	162785	250375
394	163172	249922
395	163567	249481
396	163954	249029
397	164342	248578
398	164733	248131
399	165128	247692
400	165512	247237
401	165907	246798
402	166294	246347
403	166679	245893
404	167061	245436
405	167447	244985
406	167835	244536
407	168224	244090
408	168611	243641
409	169005	243202
410	169395	242759
411	169789	242321
412	170172	241867
413	170562	241424
414	170948	240975
415	171339	240534
416	171727	240089
417	172114	239642
418	172515	239216
419	172924	238801
420	173308	238350
421	173697	237908
422	174117	237508
423	174598	237190
424	174994	236757
425	175388	236321
426	175779	235881
427	176178	235453
428	176573	235019
429	176968	234586
430	177367	234158
431	177767	233731
432	178161	233297
433	178555	232862
434	178949	232428
435	179347	232000
436	179754	231583
437	180154	231156
438	180549	230724
439	180943	230291
440	181337	229858
441	181732	229426
442	182126	228994
443	182517	228557
444	182903	228115
445	183297	227682
446	183686	227244
447	184080	226813
448	184473	226380
449	184875	225959
450	185277	225537
451	185668	225102
452	186059	224667
453	186457	224241
454	186843	223802
455	187237	223371
456	187627	222936
457	188008	222490
458	188401	222058
459	188787	221620
460	189180	221188
461	189567	220751
462	189956	220316
463	190342	219878
464	190729	219440
465	191114	219001
466	191506	218571
467	191890	218132
468	192291	217712
469	192688	217286
470	193081	216858
471	193467	216421
472	193855	215986
473	194240	215550
474	194632	215119
475	195021	214687
476	195414	214259
477	195804	213828
478	196240	213447
479	196661	213050
480	197046	212613
481	197439	212185
482	197918	211850
483	198322	211434
484	198705	210996
485	199101	210572
486	199502	210153
487	199902	209734
488	200294	209305
489	200687	208878
490	201086	208458
491	201479	208031
492	201867	207600
493	202257	207170
494	202650	206743
495	203046	206321
496	203435	205891
497	203828	205465
498	204218	205036
499	204608	204608
500	205005	204187
501	205390	203753
502	205790	203335
503	206178	202906
504	206569	202478
505	206961	202053
506	207355	201629
507	207742	201199
508	208138	200777
509	208526	200349
510	208920	199926
511	209316	199505
512	209712	199083
513	210124	198677
514	210533	198269
515	210951	197869
516	211366	197465
517	211750	197034
518	212141	196609
519	212529	196181
520	212943	195777
521	213357	195373
522	213736	194937
523	214125	194511
524	214521	194091
525	214941	193692
526	215335	193270
527	215722	192842
528	216116	192421
529	216503	191993
530	216900	191574
531	217295	191155
532	217684	190729
533	218071	190301
534	218462	189878
535	218858	189459
536	219251	189038
537	219652	188623
538	220040	188198
539	220435	187778
540	220826	187355
541	221224	186939
542	221614	186515
543	222002	186090
544	222403	185676
545	222806	185264
546	223282	184911
547	223673	184490
548	224068	184071
549	224456	183646
550	224847	183224
551	225237	182801
552	225630	182381
553	226017	181956
554	226410	181536
555	226796	181110
556	227183	180686
557	227573	180264
558	227959	179839
559	228353	179420
560	228747	179001
561	229145	178586
562	229541	178170
563	229931	177748
564	230326	177330
565	230721	176913
566	231125	176503
567	231518	176084
568	231927	175678
569	232332	175268
570	232758	174874
571	233157	174460
572	233548	174040
573	233946	173625
574	234367	173228
575	234751	172803
576	235146	172386
577	235538	171967
578	235935	171552
579	236329	171134
580	236714	170711
581	237114	170298
582	237507	169880
583	237897	169460
584	238285	169040
585	238683	168626
586	239087	168216
587	239485	167802
588	239890	167394
589	240286	166978
590	240674	166558
591	241075	166146
592	241466	165728
593	241858	165310
594	242244	164889
595	242641	164474
596	243038	164061
597	243434	163646
598	243827	163230
599	244223	162815
600	244615	162398
601	245004	161979
602	245396	161562
603	245786	161144
604	246189	160735
605	246586	160322
606	246974	159902
607	247372	159490
608	247768	159076
609	248242	158712
610	248636	158297
611	249034	157884
612	249439	157476
613	249842	157067
614	250234	156651
615	250633	156239
616	251029	155825
617	251428	155413
618	251828	155002
619	252231	154593
620	252631	154182
621	253022	153766
622	253425	153356
623	253823	152945
624	254219	152531
625	254617	152119
626	255022	151711
627	255423	151301
628	255818	150888
629	256215	150475
630	256610	150062
631	257008	149650
632	257408	149239
633	257803	148826
634	258195	148411
635	258595	148001
636	258996	147591
637	259387	147175
638	259793	146769
639	260187	146355
640	260583	145943
641	260983	145532
642	261381	145121
643	261786	144714
644	262189	144305
645	262586	143893
646	262985	143483
647	263386	143074
648	263787	142664
649	264185	142253
650	264584	141843
651	264986	141434
652	265378	141020
653	265777	140610
654	266175	140199
655	266572	139787
656	266976	139380
657	267379	138972
658	267779	138562
659	268182	138154
660	268585	137746
661	268986	137337
662	269384	136926
663	269784	136517
664	270190	136111
665	270588	135700
666	270990	135292
667	271393	134884
668	271794	134475
669	272192	134064
670	272594	133656
671	273077	133287
672	273476	132877
673	273878	132469
674	274277	132059
675	274671	131647
676	275091	131247
677	275489	130837
678	275884	130425
679	276279	130014
680	276671	129600
681	277064	129188
682	277459	128777
683	277853	128365
684	278249	127953
685	278639	127540
686	279035	127129
687	279435	126720
688	279835	126311
689	280227	125899
690	280630	125491
691	281029	125082
692	281422	124670
693	281819	124260
694	282222	123852
695	282612	123440
696	283015	123032
697	283415	122623
698	283811	122213
699	284204	121802
700	284605	121393
701	285004	120985
702	285403	120575
703	285802	120166
704	286203	119758
705	286602	119349
706	287001	118941
707	287430	118544
708	287858	118147
709	288288	117751
710	288700	117348
711	289119	116947
712	289533	116544
713	289974	116152
714	290461	115778
715	290920	115392
716	291345	114994
717	291745	114585
718	292174	114187
719	292609	113792
720	293125	113428
721	293531	113021
722	293945	112617
723	294381	112222
724	294782	111814
725	295190	111407
726	295620	111010
727	296058	110615
728	296468	110209
729	296873	109802
730	297659	109535
731	298404	109251
732	299272	109011
733	300019	108726
734	300634	108392
735	301125	108012
736	301599	107626
737	302107	107252
738	302660	106893
739	303099	106494
740	303513	106086
741	303945	105684
742	304377	105282
743	304921	104919
744	305373	104523
745	305784	104114
746	306208	103709
747	306640	103306
748	307081	102907
749	307487	102495
750	307902	102087
751	308317	101679
752	308718	101266
753	309121	100853
754	309522	100441
755	309958	100039
756	310352	99624
757	310778	99219
758	311179	98806
759	311585	98395
760	311982	97981
761	312397	97573
762	312798	97160
763	313201	96748
764	313616	96339
765	314031	95931
766	314434	95519
767	314857	95113
768	315275	94705
769	315697	94299
770	316133	93896
771	316576	93496
772	316978	93084
773	317376	92670
774	317780	92258
775	318189	91848
776	318590	91435
777	318998	91025
778	319395	90611
779	319802	90200
780	320198	89786
781	320585	89370
782	320982	88956
783	321381	88543
784	321780	88130
785	322266	87741
786	322663	87328
787	323064	86915
788	323466	86503
789	323900	86100
790	324329	85695
791	324782	85296
792	325229	84895
793	325664	84492
794	326093	84086
795	326512	83679
796	326919	83268
797	327341	82860
798	327743	82448
799	328145	82036
800	328551	81625
801	328977	81218
802	329410	80814
803	329833	80407
804	330240	79996
805	330643	79584
806	331046	79172
807	331456	78762
808	331867	78351
809	332292	77945
810	332702	77534
811	333109	77123
812	333516	76712
813	333923	76301
814	334332	75891
815	334739	75480
816	335162	75073
817	335562	74660
818	335974	74250
819	336388	73841
820	336800	73431
821	337246	73028
822	337683	72624
823	338107	72217
824	338534	71810
825	338958	71402
826	339374	70993
827	339791	70584
828	340198	70173
829	340598	69761
830	341007	69350
831	341445	68945
832	341890	68542
833	342325	68136
834	342749	67728
835	343162	67318
836	343569	66907
837	343979	66497
838	344379	66084
839	344783	65673
840	345192	65262
841	345595	64850
842	345994	64437
843	346394	64025
844	346894	63631
845	347297	63219
846	347695	62806
847	348092	62393
848	348495	61982
849	348901	61570
850	349301	61158
851	349704	60746
852	350120	60337
853	350520	59925
854	350924	59513
855	351329	59102
856	351724	58689
857	352121	58276
858	352532	57866
859	352951	57457
860	353341	57043
861	353731	56629
862	354139	56219
863	354547	55808
864	354939	55395
865	355335	54982
866	355738	54571
867	356138	54159
868	356539	53747
869	356943	53336
870	357347	52925
871	357757	52514
872	358154	52102
873	358565	51692
874	358970	51281
875	359380	50871
876	359794	50461
877	360209	50051
878	360611	49640
879	361026	49230
880	361429	48819
881	361829	48407
882	362228	47996
883	362638	47586
884	363053	47176
885	363471	46767
886	363874	46356
887	364278	45945
888	364674	45533
889	365082	45122
890	365494	44712
891	365898	44301
892	366303	43890
893	366714	43480
894	367117	43069
895	367524	42659
896	367929	42248
897	368337	41837
898	368742	41427
899	369150	41016
900	369559	40606
901	369967	40196
902	370384	39786
903	370800	39377
904	371199	38965
905	371602	38554
906	372092	38152
907	372499	37742
908	372905	37331
909	373314	36921
910	373727	36511
911	374134	36100
912	374538	35689
913	374941	35278
914	375344	34868
915	375747	34457
916	376151	34046
917	376560	33636
918	376972	33226
919	377376	32815
920	377792	32405
921	378201	31995
922	378612	31585
923	379025	31175
924	379433	30764
925	379845	30354
926	380261	29945
927	380666	29534
928	381077	29124
929	381488	28714
930	381894	28303
931	382307	27893
932	382715	27483
933	383125	27073
934	383547	26663
935	383954	26253
936	384377	25843
937	384784	25433
938	385194	25023
939	385607	24613
940	386011	24202
941	386434	23793
942	386844	23382
943	387267	22973
944	387673	22562
945	388079	22152
946	388486	21742
947	388893	21331
948	389304	20921
949	389716	20511
950	390128	20101
951	390537	19690
952	390943	19280
953	391347	18870
954	391753	18459
955	392152	18048
956	392566	17638
957	392974	17228
958	393391	16818
959	393789	16407
960	394198	15997
961	394605	15587
962	395007	15176
963	395407	14766
964	395802	14355
965	396204	13945
966	396609	13534
967	397102	13127
968	397503	12716
969	397914	12306
970	398321	11896
971	398729	11486
972	399135	11075
973	399536	10665
974	399936	10254
975	400333	9844
976	400742	9434
977	401150	9023
978	401553	8613
979	401958	8203
980	402369	7793
981	402773	7382
982	403177	6972
983	403614	6562
984	404075	6153
985	404532	5743
986	405363	5339
987	406476	4936
988	407604	4533
989	408571	4126
990	409124	3715
991	410445	3310
992	411311	2899
993	411767	2485
994	412322	2071
995	412818	1657
996	413243	1243
997	413939	829
998	415066	415
999	415645	0
